geo,yearMonth,fluCases
"""Africa""","""2022-12""",23
"""Africa""","""2022-11""",55
"""Africa""","""2022-10""",24
"""Africa""","""2022-9""",4
"""Africa""","""2022-8""",4
"""Africa""","""2022-3""",3
"""Africa""","""2022-2""",3
"""Africa""","""2022-1""",4
"""Africa""","""2021-12""",10
"""Africa""","""2021-11""",5
"""Africa""","""2021-9""",1
"""Africa""","""2021-8""",2
"""Africa""","""2021-5""",3
"""Africa""","""2021-3""",1
"""Africa""","""2021-2""",13
"""Africa""","""2021-1""",16
"""Africa""","""2020-12""",6
"""Africa""","""2020-11""",16
"""Africa""","""2020-10""",21
"""Africa""","""2020-9""",2
"""Africa""","""2020-4""",8
"""Africa""","""2020-3""",33
"""Africa""","""2020-2""",2
"""Africa""","""2020-1""",1
"""Africa""","""2019-5""",2
"""Africa""","""2019-4""",2
"""Africa""","""2018-11""",1
"""Africa""","""2018-10""",2
"""Africa""","""2018-9""",2
"""Africa""","""2018-5""",2
"""Africa""","""2018-4""",6
"""Africa""","""2018-3""",20
"""Africa""","""2018-2""",27
"""Africa""","""2018-1""",10
"""Africa""","""2017-12""",9
"""Africa""","""2017-11""",21
"""Africa""","""2017-10""",8
"""Africa""","""2017-9""",2
"""Africa""","""2017-8""",6
"""Africa""","""2017-7""",4
"""Africa""","""2017-6""",2
"""Africa""","""2017-5""",2
"""Africa""","""2017-3""",1
"""Africa""","""2016-11""",2
"""Africa""","""2016-9""",1
"""Africa""","""2016-8""",4
"""Africa""","""2016-6""",4
"""Africa""","""2016-5""",14
"""Africa""","""2016-4""",8
"""Africa""","""2016-3""",16
"""Africa""","""2016-2""",36
"""Africa""","""2016-1""",8
"""Africa""","""2015-8""",10
"""Africa""","""2015-7""",3
"""Africa""","""2015-6""",5
"""Africa""","""2015-5""",2
"""Africa""","""2015-4""",1
"""Africa""","""2015-3""",16
"""Africa""","""2015-2""",2
"""Africa""","""2015-1""",2
"""Africa""","""2014-10""",2
"""Africa""","""2014-7""",1
"""Africa""","""2014-6""",1
"""Africa""","""2014-5""",9
"""Africa""","""2014-4""",4
"""Africa""","""2014-3""",2
"""Africa""","""2014-2""",9
"""Africa""","""2014-1""",9
"""Africa""","""2013-5""",12
"""Africa""","""2013-4""",13
"""Africa""","""2013-3""",17
"""Africa""","""2013-2""",18
"""Africa""","""2013-1""",1
"""Africa""","""2012-10""",1
"""Africa""","""2012-9""",1
"""Africa""","""2012-8""",6
"""Africa""","""2012-7""",14
"""Africa""","""2012-6""",14
"""Africa""","""2012-5""",17
"""Africa""","""2012-4""",4
"""Africa""","""2012-3""",21
"""Africa""","""2012-1""",1
"""Africa""","""2011-10""",4
"""Africa""","""2011-8""",1
"""Africa""","""2011-7""",1
"""Africa""","""2011-3""",2
"""Africa""","""2011-2""",12
"""Africa""","""2011-1""",26
"""Africa""","""2010-5""",2
"""Africa""","""2010-4""",12
"""Africa""","""2010-3""",147
"""Africa""","""2010-2""",52
"""Africa""","""2010-1""",18
